x,y,class
-0.0018876,-0.00017343,2
-0.0022259,-0.0018977,2
-0.0015982,-0.00045347,2
-0.0020262,0.00066305,2
-0.0017383,-0.00052067,2
-0.0014238,-0.0013856,2
-0.0018265,-0.00052798,2
-0.0018527,0.0003299,2
-0.00035684,-0.00058574,2
-0.0012289,-0.0021894,2
-0.0017702,0.00095088,2
-0.001289,-0.00031539,2
-0.0022503,-0.00018605,2
-0.0014522,-0.0018815,2
-0.0018498,-0.00050693,2
-0.002281,-6.75E-05,2
-0.0020106,0.00026105,2
-0.0017645,-0.00082897,2
-0.0012234,0.00024412,2
-0.0017105,0.00030485,2
-0.00012284,-0.0013119,2
-0.00053198,0.00051841,2
-0.0019074,0.0012967,2
-0.001545,-0.00030437,2
-0.00031231,-0.00050573,2
-0.0013602,-0.00040467,2
-0.00044883,-0.001717,2
-0.00039813,-0.0013105,2
-0.001706,-0.00057438,2
-0.0020962,8.77E-05,2
-0.00079613,-0.00084836,2
-0.001975,-0.00059806,2
-0.002056,-0.0014465,2
-0.0019727,-0.00099237,2
-0.0017963,-0.00068165,2
-0.0023101,-0.00025701,2
-0.00091549,0.0010228,2
-0.0017291,0.00022689,2
-0.0009006,-0.00032491,2
-0.0026606,-0.0014807,2
-0.0025708,-0.0012692,2
-0.0026099,-0.00060314,2
-0.0024012,-0.0006961,2
-0.0014354,-0.0016235,2
-0.0021989,-0.00083443,2
-0.0020331,0.00049285,2
-0.0018629,0.00058034,2
-0.0021392,-0.00087807,2
-0.0018972,-0.00079326,2
-0.0017172,0.0005274,2
-0.0017205,-0.00042043,2
-0.0022549,-0.00044055,2
-0.0028418,-0.001407,2
-0.0019717,-0.00055758,2
-0.0017268,-0.0010154,2
-0.0010797,-0.00082109,2
-0.0010147,-0.0008677,2
-0.00061204,9.03E-05,2
-0.0026602,-0.0010987,2
-0.0010806,-4.84E-05,2
-0.00091818,0.0010817,2
-0.0023856,-0.00016376,2
-0.0020343,-0.0019448,2
-0.0023869,-0.001049,2
-0.0017038,0.00082885,2
-0.0014001,-0.0013094,2
-0.0012183,-0.001004,2
-0.0017131,-0.00041732,2
-0.0018151,0.00064959,2
-0.0020565,-0.0015091,2
-0.0014359,-0.00046616,2
-0.0012397,-0.00012946,2
